j	i	h	g	f	e	d	c	b	a271.76	287.75	351.82	365.82	373.12	331.75	344.61	397.75	374.59	339
112.96	120.65	123.55	124.51	124.52	105.9	104.05	106.2	91.06	89.96
96.79	99.67	96.2	89.43	82.83	74.89	79.53	83.3	70.42	65.4
97.14	96.66	102.77	106.3	100.37	88.95	87.58	92.2	82.79	75.59
418.17	396.9	406.99	418.54	407.64	319.75	396.04	477.71	392.4	354.53
61.31	65.17	64.76	60.8	63.55	54.18	55.43	61.16	59.2	58.63
60.47	62.5	61.84	59.57	57.5	52.88	55.15	60.51	55.26	49.96
66.26	64.93	65.96	63.7	60.86	51.85	52.89	55.67	50.06	45.49
51.7	53.35	52.48	49.31	51.27	42.48	43	46.34	40.22	37.2
25.31	25.12	25.2	23.5	22.92	19.14	19.44	21.52	19.53	19.7
18.04	18.86	19.55	19.75	18.91	16.69	18.09	19.41	16.78	14.58
204.58	218.63	242.61	253.63	237.03	174.3	312.34	300.39	240.51	222.39
66.71	68.42	70.83	74.8	68.53	55.03	53.47	57.72	49.91	42.98
209.32	208.53	211.81	211.61	200.96	170.98	178.64	190.12	171.03	155.55
67.21	72.31	77.43	72.62	66.13	56.15	57.15	60.74	53.81	48.3
12.66	12.86	12.83	12.09	11.61	10.04	10.52	10.87	8.86	7.84
